season,date,level,competition,city,country,continent,altitude,segment,jump,rotation,fall,bonus,combination,jump_number,jump_bv,goe,point_value
2017-2018,2017-08-24,Junior,JGP,Brisbane,Australia,Oceania,,SP,3F+3Lo,,,1,1,2,11.44,0.80,12.24
2017-2018,2017-08-24,Junior,JGP,Brisbane,Australia,Oceania,,SP,3Lz,,,1,,1,6.60,1.20,7.80
2017-2018,2017-08-24,Junior,JGP,Brisbane,Australia,Oceania,,SP,2A,,,1,,1,3.63,0.79,4.42
2017-2018,2017-08-26,Junior,JGP,Brisbane,Australia,Oceania,,FP,4S,u,,,,1,8.10,-1.37,6.73
2017-2018,2017-08-26,Junior,JGP,Brisbane,Australia,Oceania,,FP,3Lz+3Lo,,,1,1,2,12.21,0.80,13.01
2017-2018,2017-08-26,Junior,JGP,Brisbane,Australia,Oceania,,FP,3F+2T+2T,,,1,1,3,8.69,0.90,9.59
2017-2018,2017-08-26,Junior,JGP,Brisbane,Australia,Oceania,,FP,3Lz+3T,,,1,1,2,11.33,1.30,12.63
2017-2018,2017-08-26,Junior,JGP,Brisbane,Australia,Oceania,,FP,3F,,,1,,1,5.83,1.00,6.83
2017-2018,2017-08-26,Junior,JGP,Brisbane,Australia,Oceania,,FP,3S,,,1,,1,4.84,0.70,5.54
2017-2018,2017-08-26,Junior,JGP,Brisbane,Australia,Oceania,,FP,2A,,,1,,1,3.63,0.86,4.49
2017-2018,2017-09-21,Junior,JGP,Minsk,Belarus,Europe,,SP,3F+3Lo,,,1,1,2,11.44,1.30,12.74
2017-2018,2017-09-21,Junior,JGP,Minsk,Belarus,Europe,,SP,3Lz,,,1,,1,6.60,1.40,8.00
2017-2018,2017-09-21,Junior,JGP,Minsk,Belarus,Europe,,SP,2A,,,1,,1,3.63,0.86,4.49
2017-2018,2017-09-22,Junior,JGP,Minsk,Belarus,Europe,,FP,4S,d,1,,,1,4.40,-2.10,2.30
2017-2018,2017-09-22,Junior,JGP,Minsk,Belarus,Europe,,FP,3Lz+3Lo,,,1,1,2,12.21,0.80,13.01
