FIPS code,State Abbreviation,State Name,County,Weekly Cases,Weekly Deaths,Tests performed 7-day rolling average,7-day Percent Positivity,New Admissions Confirmed COVID-19 per 100000 Population Last 7 Days,Percentage of staffed adult inpatient beds used by confirmed COVID-19 patients over a trailing 7 day period,Percentage of staffed adult ICU beds used by confirmed COVID-19 patients over a trailing 7 day period,Date,Report date window start,Report date window end,Health Service Area Number
6037,CA,California,Los Angeles County,0,0,0,N/A,0,0,0,2020/1/22,2020/1/16,2020/1/22,824
6037,CA,California,Los Angeles County,0,0,0,N/A,0,0,0,2020/1/23,2020/1/17,2020/1/23,824
6037,CA,California,Los Angeles County,0,0,0,N/A,0,0,0,2020/1/24,2020/1/18,2020/1/24,824
6037,CA,California,Los Angeles County,0,0,0,N/A,0,0,0,2020/1/25,2020/1/19,2020/1/25,824
6037,CA,California,Los Angeles County,0,0,0,N/A,0,0,0,2020/1/26,2020/1/20,2020/1/26,824
6037,CA,California,Los Angeles County,0,0,0,N/A,0,0,0,2020/1/27,2020/1/21,2020/1/27,824
6037,CA,California,Los Angeles County,0,0,0,N/A,0,0,0,2020/1/28,2020/1/22,2020/1/28,824
6037,CA,California,Los Angeles County,1,0,0,N/A,0,0,0,2020/1/29,2020/1/23,2020/1/29,824
6037,CA,California,Los Angeles County,0,0,0,N/A,0,0,0,2020/1/30,2020/1/24,2020/1/30,824
6037,CA,California,Los Angeles County,0,0,0,N/A,0,0,0,2020/1/31,2020/1/25,2020/1/31,824
6037,CA,California,Los Angeles County,0,0,0,N/A,0,0,0,2020/2/1,2020/1/26,2020/2/1,824
6037,CA,California,Los Angeles County,0,0,0,N/A,0,0,0,2020/2/2,2020/1/27,2020/2/2,824
6037,CA,California,Los Angeles County,0,0,0,N/A,0,0,0,2020/2/3,2020/1/28,2020/2/3,824
6037,CA,California,Los Angeles County,0,0,0,N/A,0,0,0,2020/2/4,2020/1/29,2020/2/4,824
6037,CA,California,Los Angeles County,1,0,0,N/A,0,0,0,2020/2/5,2020/1/30,2020/2/5,824
6037,CA,California,Los Angeles County,0,0,0,N/A,0,0,0,2020/2/6,2020/1/31,2020/2/6,824
6037,CA,California,Los Angeles County,0,0,0,N/A,0,0,0,2020/2/7,2020/2/1,2020/2/7,824
6037,CA,California,Los Angeles County,0,0,0,N/A,0,0,0,2020/2/8,2020/2/2,2020/2/8,824
6037,CA,California,Los Angeles County,0,0,0,N/A,0,0,0,2020/2/9,2020/2/3,2020/2/9,824
6037,CA,California,Los Angeles County,0,0,0,N/A,0,0,0,2020/2/10,2020/2/4,2020/2/10,824
6037,CA,California,Los Angeles County,0,0,0,N/A,0,0,0,2020/2/11,2020/2/5,2020/2/11,824
6037,CA,California,Los Angeles County,5,0,0,N/A,0,0,0,2020/2/12,2020/2/6,2020/2/12,824
6037,CA,California,Los Angeles County,0,0,0,N/A,0,0,0,2020/2/13,2020/2/7,2020/2/13,824
6037,CA,California,Los Angeles County,0,0,0,N/A,0,0,0,2020/2/14,2020/2/8,2020/2/14,824
6037,CA,California,Los Angeles County,0,0,0,N/A,0,0,0,2020/2/15,2020/2/9,2020/2/15,824
6037,CA,California,Los Angeles County,0,0,0,N/A,0,0,0,2020/2/16,2020/2/10,2020/2/16,824
6037,CA,California,Los Angeles County,0,0,0,N/A,0,0,0,2020/2/17,2020/2/11,2020/2/17,824
6037,CA,California,Los Angeles County,0,0,0,N/A,0,0,0,2020/2/18,2020/2/12,2020/2/18,824
6037,CA,California,Los Angeles County,3,0,0,N/A,0,0,0,2020/2/19,2020/2/13,2020/2/19,824
6037,CA,California,Los Angeles County,0,0,0,N/A,0,0,0,2020/2/20,2020/2/14,2020/2/20,824
6037,CA,California,Los Angeles County,0,0,0,N/A,0,0,0,2020/2/21,2020/2/15,2020/2/21,824
6037,CA,California,Los Angeles County,0,0,0,N/A,0,0,0,2020/2/22,2020/2/16,2020/2/22,824
6037,CA,California,Los Angeles County,0,0,0,N/A,0,0,0,2020/2/23,2020/2/17,2020/2/23,824
6037,CA,California,Los Angeles County,0,0,0,N/A,0,0,0,2020/2/24,2020/2/18,2020/2/24,824
6037,CA,California,Los Angeles County,0,0,0,N/A,0,0,0,2020/2/25,2020/2/19,2020/2/25,824
6037,CA,California,Los Angeles County,1,0,0,N/A,0,0,0,2020/2/26,2020/2/20,2020/2/26,824
6037,CA,California,Los Angeles County,0,0,0,N/A,0,0,0,2020/2/27,2020/2/21,2020/2/27,824
6037,CA,California,Los Angeles County,0,0,0,N/A,0,0,0,2020/2/28,2020/2/22,2020/2/28,824
6037,CA,California,Los Angeles County,0,0,0,N/A,0,0,0,2020/2/29,2020/2/23,2020/2/29,824
6037,CA,California,Los Angeles County,0,0,7,N/A,0,0,0,2020/3/1,2020/2/24,2020/3/1,824
6037,CA,California,Los Angeles County,0,0,8.5,23.53,0,0,0,2020/3/2,2020/2/25,2020/3/2,824
6037,CA,California,Los Angeles County,0,0,6.33,31.58,0,0,0,2020/3/3,2020/2/26,2020/3/3,824
6037,CA,California,Los Angeles County,6,0,6.5,38.46,0,0,0,2020/3/4,2020/2/27,2020/3/4,824
6037,CA,California,Los Angeles County,0,0,6.4,37.5,0,0,0,2020/3/5,2020/2/28,2020/3/5,824
6037,CA,California,Los Angeles County,0,0,7.67,28.26,0,0,0,2020/3/6,2020/2/29,2020/3/6,824
6037,CA,California,Los Angeles County,0,0,8,23.21,0,0,0,2020/3/7,2020/3/1,2020/3/7,824
6037,CA,California,Los Angeles County,0,0,8.71,24.59,0,0,0,2020/3/8,2020/3/2,2020/3/8,824
6037,CA,California,Los Angeles County,0,0,7.71,20.37,0,0,0,2020/3/9,2020/3/3,2020/3/9,824
6037,CA,California,Los Angeles County,0,0,10.43,15.07,0,0,0,2020/3/10,2020/3/4,2020/3/10,824
