season,date,level,competition,city,country,continent,altitude_in_m,distance_moscow_km,segment,number,jump,edge,rotation,fall,bonus,combination,jump_number,jump_bv,goe_raw,goe_scaled,point_value
2014-2015,2015-03-20,Novice,NC,Novgorod,Russia,Europe,25,402,E,,3Lz,,,,,,1,,,,
2014-2015,2015-03-20,Novice,NC,Novgorod,Russia,Europe,25,402,E,,3Lz,,,,,,1,6.00,3.00,1.26,7.26
2014-2015,2015-03-20,Novice,NC,Novgorod,Russia,Europe,25,402,E,,3Lz+2T,,,,,1,2,7.30,1.67,0.70,8.00
2014-2015,2015-03-20,Novice,NC,Novgorod,Russia,Europe,25,402,E,,3Lz+3T,,d,1,,1,2,,,,
2014-2015,2015-03-21,Novice,NC,Novgorod,Russia,Europe,25,402,SP,1,3Lo+2T,,,,,1,2,6.40,2.33,0.98,7.38
2014-2015,2015-03-21,Novice,NC,Novgorod,Russia,Europe,25,402,SP,2,3Lz,,,,,,1,6.00,-2.00,-0.84,5.16
2014-2015,2015-03-21,Novice,NC,Novgorod,Russia,Europe,25,402,SP,3,2A,,,,1,,1,3.63,2.00,0.60,4.23
2014-2015,2015-03-22,Novice,NC,Novgorod,Russia,Europe,25,402,FP,1,3S,,,,,,1,4.20,1.67,0.70,4.90
2014-2015,2015-03-22,Novice,NC,Novgorod,Russia,Europe,25,402,FP,2,3Lo,,u,1,,,1,3.60,-5.00,-2.10,1.50
2014-2015,2015-03-22,Novice,NC,Novgorod,Russia,Europe,25,402,FP,3,3Lz,,,,,,1,6.00,2.00,0.84,6.84
2014-2015,2015-03-22,Novice,NC,Novgorod,Russia,Europe,25,402,FP,4,3S+2T,,,,1,,2,6.05,1.67,0.70,6.75
2014-2015,2015-03-22,Novice,NC,Novgorod,Russia,Europe,25,402,FP,5,3Lz,,,1,1,,1,4.62,-5.00,-2.10,2.52
2014-2015,2015-03-22,Novice,NC,Novgorod,Russia,Europe,25,402,FP,6,2A,,,,1,,1,3.63,-0.67,-0.20,3.43
2015-2016,2015-11-20,Novice,INT,Tallinn,Estonia,Europe,9,866,SP,1,3Lz+2T,,,,,1,2,7.30,-1.67,-0.70,6.60
2015-2016,2015-11-20,Novice,INT,Tallinn,Estonia,Europe,9,866,SP,2,1F,,,,,,1,0.00,0.00,0.00,0.00
2015-2016,2015-11-20,Novice,INT,Tallinn,Estonia,Europe,9,866,SP,3,2A,,,1,,,1,3.30,-5.00,-1.50,1.80
2015-2016,2015-11-21,Novice,INT,Tallinn,Estonia,Europe,9,866,FP,1,,,,,,,,,,,
2015-2016,2015-11-21,Novice,INT,Tallinn,Estonia,Europe,9,866,FP,2,,,,,,,,,,,
2015-2016,2015-11-21,Novice,INT,Tallinn,Estonia,Europe,9,866,FP,3,,,,,,,,,,,
2015-2016,2015-11-21,Novice,INT,Tallinn,Estonia,Europe,9,866,FP,4,,,,,,,,,,,
2015-2016,2015-11-21,Novice,INT,Tallinn,Estonia,Europe,9,866,FP,5,,,,,,,,,,,
2015-2016,2015-11-21,Novice,INT,Tallinn,Estonia,Europe,9,866,FP,6,,,,,,,,,,,
2015-2016,2015-11-21,Novice,INT,Tallinn,Estonia,Europe,9,866,FP,7,,,,,,,,,,,
2015-2016,2016-03-04,Novice,NC,Stary Oskol,Russia,Europe,150,501,E,,3Lz,,,,,,1,6.00,3.67,1.54,7.54
2015-2016,2016-03-04,Novice,NC,Stary Oskol,Russia,Europe,150,501,E,,3Lz+3T,,u,,,1,2,,,,
2015-2016,2016-03-04,Novice,NC,Stary Oskol,Russia,Europe,150,501,E,,3Lz+3T,,,,,1,2,10.30,-0.20,-0.14,10.16
2015-2016,2016-03-05,Novice,NC,Stary Oskol,Russia,Europe,150,501,SP,1,3Lo+3T,,,,,1,2,9.40,2.30,0.70,10.10
2015-2016,2016-03-05,Novice,NC,Stary Oskol,Russia,Europe,150,501,SP,2,3Lz,,,,1,,1,6.60,3.00,1.26,7.86
2015-2016,2016-03-05,Novice,NC,Stary Oskol,Russia,Europe,150,501,SP,3,2A,,,,1,,1,3.63,2.67,0.80,4.43
2015-2016,2016-03-06,Novice,NC,Stary Oskol,Russia,Europe,150,501,FP,1,3Lz,,,1,,,1,6.00,-5.00,-2.10,3.90
2015-2016,2016-03-06,Novice,NC,Stary Oskol,Russia,Europe,150,501,FP,2,3Lo+3T,,,,,1,2,9.40,1.33,0.56,9.96
2015-2016,2016-03-06,Novice,NC,Stary Oskol,Russia,Europe,150,501,FP,3,3Lo+1Eu+3S,,u,,,1,3,9.90,0.00,0.00,9.90
2015-2016,2016-03-06,Novice,NC,Stary Oskol,Russia,Europe,150,501,FP,4,2A,,,,1,,1,3.63,1.67,0.50,4.13
2015-2016,2016-03-06,Novice,NC,Stary Oskol,Russia,Europe,150,501,FP,5,3Lz+2T,,,,1,1,2,8.03,1.33,0.56,8.59
2015-2016,2016-03-06,Novice,NC,Stary Oskol,Russia,Europe,150,501,FP,6,3F,e,u,,1,,1,3.52,-2.67,-1.12,2.40
2015-2016,2016-03-06,Novice,NC,Stary Oskol,Russia,Europe,150,501,FP,7,2A,,,,1,,1,3.63,2.67,0.80,4.43
2016-2017,2017-02-03,Junior,NC,Saint Petersburg,Russia,Europe,8,632,SP,1,3Lz+3T,,,,,1,2,10.30,3.10,1.30,11.60
2016-2017,2017-02-03,Junior,NC,Saint Petersburg,Russia,Europe,8,632,SP,2,3Lo,,,,1,,1,5.61,2.62,1.10,6.71
2016-2017,2017-02-03,Junior,NC,Saint Petersburg,Russia,Europe,8,632,SP,3,2A,,,,1,,1,3.63,2.38,0.71,4.34
2016-2017,2017-02-04,Junior,NC,Saint Petersburg,Russia,Europe,8,632,FP,1,3Lz+3Lo,,,,,1,2,11.10,3.33,1.40,12.50
2016-2017,2017-02-04,Junior,NC,Saint Petersburg,Russia,Europe,8,632,FP,2,3Lz+3T+2T,,,,1,1,3,12.76,2.62,1.10,13.86
2016-2017,2017-02-04,Junior,NC,Saint Petersburg,Russia,Europe,8,632,FP,3,3F,,,,1,,1,5.83,2.62,1.10,6.93
2016-2017,2017-02-04,Junior,NC,Saint Petersburg,Russia,Europe,8,632,FP,4,2A+2T,,,,1,1,2,5.06,1.43,0.43,5.49
